Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.entity.User.getPreferedMaxAge; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.UserService.deleteImage; com.nonononoki.alovoa.service.UserService.updateAudio; com.nonononoki.alovoa.service.UserService.updateProfilePicture; com.nonononoki.alovoa.service.UserService.deleteInterest; com.nonononoki.alovoa.service.UserService.updatePreferedGender; com.nonononoki.alovoa.Tools.imageToB64; com.nonononoki.alovoa.service.UserService.updateIntention; com.nonononoki.alovoa.service.UserService.updateDescription; com.nonononoki.alovoa.service.UserService.deleteProfilePicture; com.nonononoki.alovoa.FileUtils.resourceToBase64; com.nonononoki.alovoa.service.UserService.getUserdata; com.nonononoki.alovoa.service.UserService.updateMaxAge; com.nonononoki.alovoa.entity.User.getPreferedMinAge; com.nonononoki.alovoa.model.UserDto.encodeId; com.nonononoki.alovoa.service.UserService.updateMinAge; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.UserService.addImage; com.nonononoki.alovoa.service.UserService.addInterest; com.nonononoki.alovoa.service.UserService.deleteAudio
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGetInterestAutocomplete,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.UserService.getInterestAutocomplete; com.nonononoki.alovoa.service.UserService.addInterest
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testVerificationProcess,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testVerificationProcess,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.UserService.updateProfilePicture; com.nonononoki.alovoa.model.UserDto.encodeId; com.nonononoki.alovoa.service.UserService.downvoteVerificationPicture; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.Tools.imageToB64; com.nonononoki.alovoa.service.UserService.upvoteVerificationPicture; com.nonononoki.alovoa.service.UserService.updateVerificationPicture
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGenerateVerificationCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
alovoa,com.nonononoki.alovoa.service,UserServiceTest,testGenerateVerificationCode,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.UserService.getVerificationCode; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.AuthService.getCurrentUser
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.DonateService.donationReceivedKofi; com.nonononoki.alovoa.service.DonateService.donationReceivedBmac
alovoa,com.nonononoki.alovoa.service,DonateServiceTest,testWithRealDataKofi,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
